Importance of Business Processes,Data Quality,Technical Complexity,Team Experience,Urgency,Testing Tools and Methods,Change Management Plan,Compliance with Regulatory Requirements,Level of Integration with Other Systems,Predictability of Changes,History of Previous Implementations,Availability of Backup Plans,Reaction to Mistakes,Coordination between Teams,Performance Monitoring,Analysis of Consequences of Failures,Degree of Automation of Processes,Maturity of Development Processes,Version Control and Configuration Management,Criticality of Streams,Total Key Risks
5,8,4,4,2,2,1,1,2,1,3,1,1,2,2,2,3,3,3,2,High+
3,6,5,3,1,3,2,1,1,2,2,2,1,1,3,1,2,2,2,1,Medium
2,5,2,2,3,2,1,2,1,1,1,1,2,1,1,3,1,1,1,3,High
4,7,3,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High+
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unacceptable
5,9,5,5,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
3,6,4,3,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,Medium
4,8,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High+
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Unacceptable
2,4,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,High
5,9,5,5,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
3,7,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High+
4,8,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High+
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Low
4,9,5,5,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
5,1,3,4,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,High
1,5,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
3,8,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High
2,3,4,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
1,2,5,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High
4,6,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
5,9,1,1,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,3,High+
2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,High
3,8,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,High
